CodProvincia;Provincia;CodMunicipio;Municipio;Poblacion;Recaudación
2;Albacete;60;Peñas de San Pedro;1360;164
2;Albacete;61;Pétrola;826;587
2;Albacete;62;Povedilla;538;348
2;Albacete;63;Pozohondo;1791;422
2;Albacete;64;Pozo-Lorente;448;37
2;Albacete;65;Pozuelo;570;157
2;Albacete;66;Recueja, La;308;111
2;Albacete;67;Riópar;1463;150
2;Albacete;68;Robledo;456;121
2;Albacete;69;Roda, La;16420;176
2;Albacete;70;Salobre;606;284
2;Albacete;71;San Pedro;1287;595
2;Albacete;72;Socovos;1975;458
2;Albacete;73;Tarazona de la Mancha;6696;152
2;Albacete;74;Tobarra;8153;270
2;Albacete;75;Valdeganga;1980;65
2;Albacete;76;Vianos;400;493
2;Albacete;77;Villa de Ves;53;124
2;Albacete;78;Villalgordo del Júcar;1240;171
2;Albacete;79;Villamalea;4164;499
2;Albacete;80;Villapalacios;682;180
2;Albacete;81;Villarrobledo;26583;562
2;Albacete;82;Villatoya;135;317
2;Albacete;83;Villavaliente;268;307
2;Albacete;84;Villaverde de Guadalimar;404;109
2;Albacete;85;Viveros;356;536
2;Albacete;86;Yeste;3157;95
2;Albacete;901;Pozo Cañada;2880;362
3;Alicante/Alacant;1;Adsubia;749;506
3;Alicante/Alacant;2;Agost;4791;569
3;Alicante/Alacant;3;Agres;598;55
3;Alicante/Alacant;4;Aigües;1105;293
3;Alicante/Alacant;5;Albatera;11936;89
3;Alicante/Alacant;6;Alcalalí;1433;538
3;Alicante/Alacant;7;Alcocer de Planes;233;64
3;Alicante/Alacant;8;Alcoleja;204;264
3;Alicante/Alacant;9;Alcoy/Alcoi;60837;422
3;Alicante/Alacant;10;Alfafara;419;587
3;Alicante/Alacant;11;Alfàs del Pi, l';21964;595
3;Alicante/Alacant;12;Algorfa;4755;121
3;Alicante/Alacant;13;Algueña;1527;550
3;Alicante/Alacant;14;Alicante/Alacant;334678;291
3;Alicante/Alacant;15;Almoradí;19601;461
3;Alicante/Alacant;16;Almudaina;129;153
3;Alicante/Alacant;17;Alqueria d'Asnar, l';515;271
3;Alicante/Alacant;18;Altea;24298;591
3;Alicante/Alacant;19;Aspe;20309;60
3;Alicante/Alacant;20;Balones;157;464
3;Alicante/Alacant;21;Banyeres de Mariola;7222;271
3;Alicante/Alacant;22;Benasau;174;116
3;Alicante/Alacant;23;Beneixama;1792;426
3;Alicante/Alacant;24;Benejúzar;5425;75
3;Alicante/Alacant;25;Benferri;1934;97
3;Alicante/Alacant;26;Beniarbeig;1902;305
3;Alicante/Alacant;27;Beniardá;248;13
3;Alicante/Alacant;28;Beniarrés;1271;563
3;Alicante/Alacant;29;Benigembla;583;496
3;Alicante/Alacant;30;Benidoleig;1315;341
3;Alicante/Alacant;31;Benidorm;72991;143
3;Alicante/Alacant;32;Benifallim;110;382
3;Alicante/Alacant;33;Benifato;202;110
3;Alicante/Alacant;34;Benijófar;4207;200
3;Alicante/Alacant;35;Benilloba;800;192
3;Alicante/Alacant;36;Benillup;106;260
3;Alicante/Alacant;37;Benimantell;518;65
3;Alicante/Alacant;38;Benimarfull;417;27
3;Alicante/Alacant;39;Benimassot;125;270
3;Alicante/Alacant;40;Benimeli;424;182
3;Alicante/Alacant;41;Benissa;13808;535
3;Alicante/Alacant;42;Benitachell/Poble Nou de Benitatxell, el;5698;180
3;Alicante/Alacant;43;Biar;3695;210
3;Alicante/Alacant;44;Bigastro;6719;296
3;Alicante/Alacant;45;Bolulla;450;355
3;Alicante/Alacant;46;Busot;3412;512
3;Alicante/Alacant;47;Calp;29550;171
3;Alicante/Alacant;48;Callosa d'En Sarrià;7815;414
3;Alicante/Alacant;49;Callosa de Segura;18034;429
3;Alicante/Alacant;50;Campello, el;27709;278
3;Alicante/Alacant;51;Campo de Mirra/Camp de Mirra, el;444;181
3;Alicante/Alacant;52;Cañada;1237;522
3;Alicante/Alacant;53;Castalla;10573;22
3;Alicante/Alacant;54;Castell de Castells;478;589
3;Alicante/Alacant;55;Catral;9083;581
3;Alicante/Alacant;56;Cocentaina;11591;446
3;Alicante/Alacant;57;Confrides;283;487
3;Alicante/Alacant;58;Cox;7077;121
3;Alicante/Alacant;59;Crevillent;28439;53
3;Alicante/Alacant;60;Quatretondeta;109;72
3;Alicante/Alacant;61;Daya Nueva;1996;31
3;Alicante/Alacant;62;Daya Vieja;758;405
3;Alicante/Alacant;63;Dénia;44455;126
3;Alicante/Alacant;64;Dolores;7362;95
3;Alicante/Alacant;65;Elche/Elx;230587;117
3;Alicante/Alacant;66;Elda;54536;337
3;Alicante/Alacant;67;Facheca;104;292
3;Alicante/Alacant;68;Famorca;59;426
3;Alicante/Alacant;69;Finestrat;6932;111
3;Alicante/Alacant;70;Formentera del Segura;4559;535
3;Alicante/Alacant;71;Gata de Gorgos;6327;395
3;Alicante/Alacant;72;Gaianes;445;531
3;Alicante/Alacant;73;Gorga;261;451
3;Alicante/Alacant;74;Granja de Rocamora;2461;88
3;Alicante/Alacant;75;Castell de Guadalest, el;238;548
3;Alicante/Alacant;76;Guardamar del Segura;17138;299
3;Alicante/Alacant;77;Fondó de les Neus, el/Hondón de las Nieves;3037;267
3;Alicante/Alacant;78;Hondón de los Frailes;1238;10
3;Alicante/Alacant;79;Ibi;23616;228
3;Alicante/Alacant;80;Jacarilla;2076;280
3;Alicante/Alacant;81;Xaló;3301;267
3;Alicante/Alacant;82;Jávea/Xàbia;32983;262
3;Alicante/Alacant;83;Jijona/Xixona;7423;441
3;Alicante/Alacant;84;Lorcha/Orxa, l';729;101
3;Alicante/Alacant;85;Llíber;1071;530
3;Alicante/Alacant;86;Millena;217;533
3;Alicante/Alacant;88;Monforte del Cid;7803;215
3;Alicante/Alacant;89;Monóvar/Monòver;12844;374
3;Alicante/Alacant;90;Mutxamel;23834;384
3;Alicante/Alacant;91;Murla;598;149
3;Alicante/Alacant;92;Muro de Alcoy;9010;225
3;Alicante/Alacant;93;Novelda;26692;561
3;Alicante/Alacant;94;Nucia, la;19135;470
3;Alicante/Alacant;95;Ondara;6657;247
3;Alicante/Alacant;96;Onil;7697;57
3;Alicante/Alacant;97;Orba;2604;174
3;Alicante/Alacant;98;Orxeta;921;464
3;Alicante/Alacant;99;Orihuela;90087;357
3;Alicante/Alacant;100;Parcent;1131;581
3;Alicante/Alacant;101;Pedreguer;7751;11
3;Alicante/Alacant;102;Pego;11029;389
3;Alicante/Alacant;103;Penàguila;318;566
3;Alicante/Alacant;104;Petrer;34697;532
3;Alicante/Alacant;105;Pinós, el/Pinoso;7908;391
3;Alicante/Alacant;106;Planes;831;426
3;Alicante/Alacant;107;Polop;4549;280
3;Alicante/Alacant;109;Rafal;4213;459
3;Alicante/Alacant;110;Ràfol d'Almúnia, el;749;274
3;Alicante/Alacant;111;Redován;7554;146
3;Alicante/Alacant;112;Relleu;1342;13
3;Alicante/Alacant;113;Rojales;22006;538
3;Alicante/Alacant;114;Romana, la;2509;20
3;Alicante/Alacant;115;Sagra;446;134
3;Alicante/Alacant;116;Salinas;1603;587
3;Alicante/Alacant;117;Sanet y Negrals;700;145
3;Alicante/Alacant;118;San Fulgencio;12529;384
3;Alicante/Alacant;119;Sant Joan d'Alacant;22740;408
3;Alicante/Alacant;120;San Miguel de Salinas;7602;89
3;Alicante/Alacant;121;Santa Pola;33965;124
3;Alicante/Alacant;122;San Vicente del Raspeig/Sant Vicent del Raspeig;55100;362
3;Alicante/Alacant;123;Sax;10069;238
3;Alicante/Alacant;124;Sella;626;21
3;Alicante/Alacant;125;Senija;642;471
3;Alicante/Alacant;127;Tàrbena;809;477
3;Alicante/Alacant;128;Teulada;14578;513
3;Alicante/Alacant;129;Tibi;1761;299
3;Alicante/Alacant;130;Tollos;45;498
3;Alicante/Alacant;131;Tormos;386;229
3;Alicante/Alacant;132;Torremanzanas/Torre de les Maçanes, la;797;422
3;Alicante/Alacant;133;Torrevieja;103720;269
3;Alicante/Alacant;134;Vall d'Alcalà, la;175;572
3;Alicante/Alacant;135;Vall d'Ebo, la;286;487
3;Alicante/Alacant;136;Vall de Gallinera;676;57
3;Alicante/Alacant;137;Vall de Laguar, la;959;72
3;Alicante/Alacant;138;Verger, el;4992;162
3;Alicante/Alacant;139;Villajoyosa/Vila Joiosa, la;33293;175
3;Alicante/Alacant;140;Villena;34894;15
3;Alicante/Alacant;901;Poblets, els;3404;258
3;Alicante/Alacant;902;Pilar de la Horadada;23403;127
3;Alicante/Alacant;903;Montesinos, Los;5203;526
3;Alicante/Alacant;904;San Isidro;1921;16
4;Almería;1;Abla;1465;513
4;Almería;2;Abrucena;1360;214
4;Almería;3;Adra;24626;468
4;Almería;4;Albánchez;774;524
4;Almería;5;Alboloduy;674;113
4;Almería;6;Albox;10821;236
4;Almería;7;Alcolea;895;65
4;Almería;8;Alcóntar;624;203
4;Almería;9;Alcudia de Monteagud;151;141
4;Almería;10;Alhabia;680;365
4;Almería;11;Alhama de Almería;3847;250
4;Almería;12;Alicún;267;196
4;Almería;13;Almería;191443;163
4;Almería;14;Almócita;188;267
4;Almería;15;Alsodux;149;220
4;Almería;16;Antas;3312;297
4;Almería;17;Arboleas;4990;14
4;Almería;18;Armuña de Almanzora;340;581
4;Almería;19;Bacares;292;488
4;Almería;20;Bayárcal;376;339
4;Almería;21;Bayarque;224;534
4;Almería;22;Bédar;1083;200
4;Almería;23;Beires;111;333
4;Almería;24;Benahadux;4201;144
4;Almería;26;Benitagla;78;523
4;Almería;27;Benizalón;288;121
4;Almería;28;Bentarique;278;338
4;Almería;29;Berja;15504;360
4;Almería;30;Canjáyar;1438;187
4;Almería;31;Cantoria;3956;598
4;Almería;32;Carboneras;8081;146
4;Almería;33;Castro de Filabres;157;355
4;Almería;34;Cóbdar;156;361
4;Almería;35;Cuevas del Almanzora;13296;572
4;Almería;36;Chercos;307;70
4;Almería;37;Chirivel;1811;410
4;Almería;38;Dalías;4019;117
4;Almería;41;Enix;456;528
4;Almería;43;Felix;662;71
4;Almería;44;Fines;2260;247
4;Almería;45;Fiñana;2367;386
4;Almería;46;Fondón;989;174
4;Almería;47;Gádor;3241;122
4;Almería;48;Gallardos, Los;3831;53
4;Almería;49;Garrucha;8748;286
4;Almería;50;Gérgal;1086;125
4;Almería;51;Huécija;519;193
4;Almería;52;Huércal de Almería;16319;227
4;Almería;53;Huércal-Overa;18686;530
4;Almería;54;Illar;416;92
4;Almería;55;Instinción;470;48
4;Almería;56;Laroya;170;406
4;Almería;57;Láujar de Andarax;1735;232
4;Almería;58;Líjar;471;100
4;Almería;59;Lubrín;1729;297
4;Almería;60;Lucainena de las Torres;656;170
4;Almería;61;Lúcar;886;343
4;Almería;62;Macael;5936;445
4;Almería;63;María;1370;400
4;Almería;64;Mojácar;8173;244
4;Almería;65;Nacimiento;512;384
4;Almería;66;Níjar;29465;405
4;Almería;67;Ohanes;714;294
4;Almería;68;Olula de Castro;191;560
4;Almería;69;Olula del Río;6500;83
4;Almería;70;Oria;2858;262
4;Almería;71;Padules;520;492
4;Almería;72;Partaloa;969;433
4;Almería;73;Paterna del Río;433;298
4;Almería;74;Pechina;3746;425
4;Almería;75;Pulpí;8848;228
4;Almería;76;Purchena;1761;137
4;Almería;77;Rágol;356;419
4;Almería;78;Rioja;1355;120
4;Almería;79;Roquetas de Mar;90358;565
4;Almería;80;Santa Cruz de Marchena;231;151
4;Almería;81;Santa Fe de Mondújar;463;413
4;Almería;82;Senés;307;159
4;Almería;83;Serón;2328;529
4;Almería;84;Sierro;439;113
4;Almería;85;Somontín;525;418
4;Almería;86;Sorbas;2742;73
4;Almería;87;Suflí;260;435
4;Almería;88;Tabernas;3682;426
4;Almería;89;Taberno;1174;210
4;Almería;90;Tahal;473;159
4;Almería;91;Terque;454;392
4;Almería;92;Tíjola;3838;264
4;Almería;93;Turre;3929;188
4;Almería;94;Turrillas;234;329
4;Almería;95;Uleila del Campo;989;126
4;Almería;96;Urrácal;342;309
4;Almería;97;Velefique;297;455
4;Almería;98;Vélez-Blanco;2238;580
4;Almería;99;Vélez-Rubio;7071;230
4;Almería;100;Vera;15010;87
4;Almería;101;Viator;5492;436
4;Almería;102;Vícar;24042;110
4;Almería;103;Zurgena;3184;74
4;Almería;901;Tres Villas, Las;665;572
4;Almería;902;Ejido, El;83104;289
4;Almería;903;Mojonera, La;8682;537
5;Ávila;1;Adanero;266;488
5;Ávila;2;Adrada, La;2704;157
5;Ávila;5;Albornos;218;28
5;Ávila;7;Aldeanueva de Santa Cruz;136;458
5;Ávila;8;Aldeaseca;273;22
5;Ávila;10;Aldehuela, La;199;229
5;Ávila;12;Amavida;176;65
5;Ávila;13;Arenal, El;1046;579
5;Ávila;14;Arenas de San Pedro;6841;295
5;Ávila;15;Arevalillo;101;530
5;Ávila;16;Arévalo;8118;310
5;Ávila;17;Aveinte;92;320
5;Ávila;18;Avellaneda;30;325
5;Ávila;19;Ávila;58915;23
5;Ávila;21;Barco de Ávila, El;2715;293
5;Ávila;22;Barraco, El;2085;563
5;Ávila;23;Barromán;199;400
5;Ávila;24;Becedas;261;334
5;Ávila;25;Becedillas;117;448
5;Ávila;26;Bercial de Zapardiel;245;327
5;Ávila;27;Berlanas, Las;366;324
5;Ávila;29;Bernuy-Zapardiel;138;55
5;Ávila;30;Berrocalejo de Aragona;52;231
5;Ávila;33;Blascomillán;207;199
5;Ávila;34;Blasconuño de Matacabras;18;362
5;Ávila;35;Blascosancho;102;520
5;Ávila;36;Bohodón, El;136;284
5;Ávila;37;Bohoyo;328;262
5;Ávila;38;Bonilla de la Sierra;134;197
5;Ávila;39;Brabos;55;101
5;Ávila;40;Bularros;80;424
5;Ávila;41;Burgohondo;1300;243
5;Ávila;42;Cabezas de Alambre;179;553
5;Ávila;43;Cabezas del Pozo;84;515
5;Ávila;44;Cabezas del Villar;308;589
5;Ávila;45;Cabizuela;111;555
5;Ávila;46;Canales;47;477
5;Ávila;47;Candeleda;5233;281
5;Ávila;48;Cantiveros;144;64
5;Ávila;49;Cardeñosa;492;413
5;Ávila;51;Carrera, La;210;209
5;Ávila;52;Casas del Puerto;105;29
5;Ávila;53;Casasola;88;50
5;Ávila;54;Casavieja;1575;424
5;Ávila;55;Casillas;799;91
5;Ávila;56;Castellanos de Zapardiel;107;597
5;Ávila;57;Cebreros;3478;151
5;Ávila;58;Cepeda la Mora;89;570
5;Ávila;59;Cillán;114;259
5;Ávila;60;Cisla;137;412
5;Ávila;61;Colilla, La;344;336
5;Ávila;62;Collado de Contreras;224;198
5;Ávila;63;Collado del Mirón;44;511
5;Ávila;64;Constanzana;125;414
5;Ávila;65;Crespos;535;54
5;Ávila;66;Cuevas del Valle;540;179
5;Ávila;67;Chamartín;89;129
5;Ávila;69;Donjimeno;94;349
5;Ávila;70;Donvidas;41;305
5;Ávila;72;Espinosa de los Caballeros;108;291
5;Ávila;73;Flores de Ávila;339;463
5;Ávila;74;Fontiveros;828;162
5;Ávila;75;Fresnedilla;112;40
5;Ávila;76;Fresno, El;579;83
5;Ávila;77;Fuente el Saúz;192;521
5;Ávila;78;Fuentes de Año;135;60
5;Ávila;79;Gallegos de Altamiros;60;85
5;Ávila;80;Gallegos de Sobrinos;72;336
5;Ávila;81;Garganta del Villar;43;77
5;Ávila;82;Gavilanes;651;102
5;Ávila;83;Gemuño;164;76
5;Ávila;84;Gilbuena;88;461
5;Ávila;85;Gil García;40;138
5;Ávila;86;Gimialcón;94;18
5;Ávila;87;Gotarrendura;163;353
5;Ávila;88;Grandes y San Martín;30;226
5;Ávila;89;Guisando;564;513
5;Ávila;90;Gutierre-Muñoz;81;237
5;Ávila;92;Hernansancho;188;224
5;Ávila;93;Herradón de Pinares;532;336
5;Ávila;94;Herreros de Suso;164;465
5;Ávila;95;Higuera de las Dueñas;336;253
5;Ávila;96;Hija de Dios, La;85;112
5;Ávila;97;Horcajada, La;556;251
5;Ávila;99;Horcajo de las Torres;603;434
5;Ávila;100;Hornillo, El;342;393
5;Ávila;101;Hoyocasero;327;559
5;Ávila;102;Hoyo de Pinares, El;2449;497
5;Ávila;103;Hoyorredondo;83;489
5;Ávila;104;Hoyos del Collado;35;212
5;Ávila;105;Hoyos del Espino;443;10
5;Ávila;106;Hoyos de Miguel Muñoz;43;119
5;Ávila;107;Hurtumpascual;73;563
5;Ávila;108;Junciana;65;79
5;Ávila;109;Langa;520;41
5;Ávila;110;Lanzahíta;938;266
5;Ávila;112;Losar del Barco, El;133;93
5;Ávila;113;Llanos de Tormes, Los;92;69
5;Ávila;114;Madrigal de las Altas Torres;1621;508
5;Ávila;115;Maello;734;415
5;Ávila;116;Malpartida de Corneja;138;504
5;Ávila;117;Mamblas;229;531
5;Ávila;118;Mancera de Arriba;97;558
5;Ávila;119;Manjabálago;40;483
5;Ávila;120;Marlín;36;102
5;Ávila;121;Martiherrero;300;332
5;Ávila;122;Martínez;156;365
5;Ávila;123;Mediana de Voltoya;101;235
5;Ávila;124;Medinilla;133;318
5;Ávila;125;Mengamuñoz;67;118
5;Ávila;126;Mesegar de Corneja;77;504
5;Ávila;127;Mijares;828;453
5;Ávila;128;Mingorría;410;227
5;Ávila;129;Mirón, El;152;599
5;Ávila;130;Mironcillo;104;417
5;Ávila;131;Mirueña de los Infanzones;122;518
5;Ávila;132;Mombeltrán;1165;282
5;Ávila;133;Monsalupe;60;548
5;Ávila;134;Moraleja de Matacabras;55;26
5;Ávila;135;Muñana;489;319
5;Ávila;136;Muñico;117;70
5;Ávila;138;Muñogalindo;401;174
5;Ávila;139;Muñogrande;81;167
5;Ávila;140;Muñomer del Peco;139;37
5;Ávila;141;Muñopepe;106;110
5;Ávila;142;Muñosancho;122;360
5;Ávila;143;Muñotello;76;562
5;Ávila;144;Narrillos del Álamo;91;482
5;Ávila;145;Narrillos del Rebollar;60;401
5;Ávila;147;Narros del Castillo;187;328
5;Ávila;148;Narros del Puerto;38;77
5;Ávila;149;Narros de Saldueña;130;315
5;Ávila;151;Navacepedilla de Corneja;116;55
5;Ávila;152;Nava de Arévalo;857;79
5;Ávila;153;Nava del Barco;110;592
5;Ávila;154;Navadijos;46;148
5;Ávila;155;Navaescurial;60;178
5;Ávila;156;Navahondilla;342;219
5;Ávila;157;Navalacruz;279;122
5;Ávila;158;Navalmoral;417;330
5;Ávila;159;Navalonguilla;289;296
5;Ávila;160;Navalosa;354;417
5;Ávila;161;Navalperal de Pinares;1001;570
5;Ávila;162;Navalperal de Tormes;107;569
5;Ávila;163;Navaluenga;2152;32
5;Ávila;164;Navaquesera;33;137
5;Ávila;165;Navarredonda de Gredos;485;158
5;Ávila;166;Navarredondilla;274;433
5;Ávila;167;Navarrevisca;312;167
5;Ávila;168;Navas del Marqués, Las;5728;193
5;Ávila;169;Navatalgordo;255;576
5;Ávila;170;Navatejares;61;493
5;Ávila;171;Neila de San Miguel;84;559
5;Ávila;172;Niharra;170;68
5;Ávila;173;Ojos-Albos;60;24
5;Ávila;174;Orbita;87;143
5;Ávila;175;Oso, El;210;185
5;Ávila;176;Padiernos;275;193
5;Ávila;177;Pajares de Adaja;194;320
5;Ávila;178;Palacios de Goda;447;541
5;Ávila;179;Papatrigo;265;550
5;Ávila;180;Parral, El;106;34
5;Ávila;181;Pascualcobo;42;261
5;Ávila;182;Pedro Bernardo;968;30
5;Ávila;183;Pedro-Rodríguez;187;97
5;Ávila;184;Peguerinos;339;44
5;Ávila;185;Peñalba de Ávila;129;115
5;Ávila;186;Piedrahíta;2054;160
5;Ávila;187;Piedralaves;2288;84
5;Ávila;188;Poveda;58;371
5;Ávila;189;Poyales del Hoyo;616;422
5;Ávila;190;Pozanco;61;11
5;Ávila;191;Pradosegar;145;164
5;Ávila;192;Puerto Castilla;102;280
5;Ávila;193;Rasueros;231;30
5;Ávila;194;Riocabado;171;44
5;Ávila;195;Riofrío;247;536
5;Ávila;196;Rivilla de Barajas;79;188
5;Ávila;197;Salobral;131;443
5;Ávila;198;Salvadiós;85;151
5;Ávila;199;San Bartolomé de Béjar;47;530
5;Ávila;200;San Bartolomé de Corneja;65;126
5;Ávila;201;San Bartolomé de Pinares;621;281
5;Ávila;204;Sanchidrián;840;80
5;Ávila;205;Sanchorreja;92;366
5;Ávila;206;San Esteban de los Patos;36;126
5;Ávila;207;San Esteban del Valle;833;227
5;Ávila;208;San Esteban de Zapardiel;52;545
5;Ávila;209;San García de Ingelmos;102;103
5;Ávila;210;San Juan de la Encinilla;103;449
5;Ávila;211;San Juan de la Nava;532;30
5;Ávila;212;San Juan del Molinillo;289;329
5;Ávila;213;San Juan del Olmo;113;520
5;Ávila;214;San Lorenzo de Tormes;56;350
5;Ávila;215;San Martín de la Vega del Alberche;197;422
5;Ávila;216;San Martín del Pimpollar;216;152
5;Ávila;217;San Miguel de Corneja;75;393
5;Ávila;218;San Miguel de Serrezuela;159;434
5;Ávila;219;San Pascual;52;269
5;Ávila;220;San Pedro del Arroyo;471;193
5;Ávila;221;Santa Cruz del Valle;426;156
5;Ávila;222;Santa Cruz de Pinares;161;173
5;Ávila;224;Santa María del Arroyo;97;312
5;Ávila;225;Santa María del Berrocal;443;465
5;Ávila;226;Santa María de los Caballeros;92;220
5;Ávila;227;Santa María del Tiétar;568;80
5;Ávila;228;Santiago del Collado;199;269
5;Ávila;229;Santo Domingo de las Posadas;96;27
5;Ávila;230;Santo Tomé de Zabarcos;113;501
5;Ávila;231;San Vicente de Arévalo;204;452
5;Ávila;232;Serrada, La;114;45
5;Ávila;233;Serranillos;278;271
5;Ávila;234;Sigeres;58;563
5;Ávila;235;Sinlabajos;148;557
5;Ávila;236;Solana de Ávila;140;561
5;Ávila;237;Solana de Rioalmar;211;516
5;Ávila;238;Solosancho;949;295
5;Ávila;239;Sotalbo;239;566
5;Ávila;240;Sotillo de la Adrada;4845;355
5;Ávila;241;Tiemblo, El;4461;256
5;Ávila;242;Tiñosillos;834;319
5;Ávila;243;Tolbaños;107;432
5;Ávila;244;Tormellas;65;18
5;Ávila;245;Tornadizos de Ávila;397;234
5;Ávila;246;Tórtoles;73;526
5;Ávila;247;Torre, La;272;296
5;Ávila;249;Umbrías;127;121
5;Ávila;251;Vadillo de la Sierra;80;334
5;Ávila;252;Valdecasa;70;281
5;Ávila;253;Vega de Santa María;96;267
5;Ávila;254;Velayos;262;556
5;Ávila;256;Villaflor;134;328
5;Ávila;257;Villafranca de la Sierra;151;481
5;Ávila;258;Villanueva de Gómez;144;33
5;Ávila;259;Villanueva del Aceral;155;153
5;Ávila;260;Villanueva del Campillo;112;539
5;Ávila;261;Villar de Corneja;48;384
5;Ávila;262;Villarejo del Valle;424;184
5;Ávila;263;Villatoro;191;84
